LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
1987,PORSCHE,911 CARRERA COUPE G50,83000.0,2024-01-22,SOLD 
1995,PORSCHE,911 CARRERA 4 CABRIOLET 6-SPEED,44000.0,2024-01-22,BID 
0000,PORSCHE,997 ADAPTIVE SPORT SEATS,4650.0,2024-01-22,SOLD 
1989,PORSCHE,911 CARRERA 4 COUPE 3.8L 5-SPEED,331000.0,2024-01-22,SOLD 
1999,PORSCHE,911 CARRERA COUPE 6-SPEED,29250.0,2024-01-22,SOLD 
0000,PORSCHE,18×7.5″ AND 18×10″ TECHNOLOGY HOLLOW-SPOKE WHEELS,3700.0,2024-01-22,SOLD 
2011,PORSCHE,911 CARRERA 4S CABRIOLET,69000.0,2024-01-22,SOLD 
0000,PORSCHE,911 TOOL KIT,4600.0,2024-01-22,SOLD 
2011,PORSCHE,911 GT3 CUP,86000.0,2024-01-21,SOLD 
2006,PORSCHE,911 CARRERA S COUPE,37500.0,2024-01-21,SOLD 
2002,PORSCHE,MODIFIED  911 TURBO COUPE 6-SPEED,49911.0,2024-01-20,SOLD 
1984,PORSCHE,911 CARRERA CABRIOLET,48250.0,2024-01-20,SOLD 
2017,PORSCHE,911 TURBO S COUPE,132000.0,2024-01-20,SOLD 
2014,PORSCHE,911 50TH ANNIVERSARY EDITION,119000.0,2024-01-20,BID 
1997,PORSCHE,911 TURBO,285000.0,2024-01-20,SOLD 
2007,PORSCHE,911 CARRERA S CABRIOLET 6-SPEED,53000.0,2024-01-20,SOLD 
1972,PORSCHE,911T 2.4L FLAT-SIX,14500.0,2024-01-20,SOLD 
1968,PORSCHE,RS-STYLE  911L COUPE,61500.0,2024-01-20,BID 
1979,PORSCHE,3.4L-POWERED  911SC COUPE TRACK CAR,48250.0,2024-01-20,SOLD 
2013,PORSCHE,911 TURBO S COUPE,83250.0,2024-01-19,SOLD 
0000,PORSCHE,19×8.5″ AND 19×11″ CENTER-LOCK WHEELS FOR 997,2750.0,2024-01-19,SOLD 
1991,PORSCHE,911 CARRERA 2 COUPE 5-SPEED,95000.0,2024-01-19,BID 
2023,PORSCHE,911 TURBO S COUPE,267911.0,2024-01-19,SOLD 
0000,EURO,PORSCHE 996 GT3 RECARO SEATS,9996.0,2024-01-19,SOLD 
2003,PORSCHE,911 CARRERA TARGA 6-SPEED,44000.0,2024-01-19,SOLD 
1993,PORSCHE,911 CARRERA 4 30TH ANNIVERSARY JUBILEE EDITION,200964.0,2024-01-19,SOLD 
1998,PORSCHE,911 CARRERA TARGA 6-SPEED,115000.0,2024-01-19,SOLD 
2005,PORSCHE,911 CARRERA 4S CABRIOLET 6-SPEED,35000.0,2024-01-19,BID 
1993,PORSCHE,NON-SUNROOF  911 RS AMERICA,124000.0,2024-01-19,BID 
2008,PORSCHE,911 CARRERA S COUPE 6-SPEED,39750.0,2024-01-19,SOLD 
2018,PORSCHE,911 GT3 TOURING 6-SPEED,239000.0,2024-01-19,SOLD 
1984,PORSCHE,31-YEARS-OWNED  911 TURBO SPECIAL WISHES SLANTNOSE COUPE,151111.0,2024-01-19,SOLD 
1978,PORSCHE,3.6L-POWERED  911SC COUPE,60100.0,2024-01-18,SOLD 
1987,PORSCHE,911 TURBO COUPE,120000.0,2024-01-18,SOLD 
1973,PORSCHE,911S TARGA,101000.0,2024-01-18,BID 
2002,PORSCHE,911 CARRERA COUPE 6-SPEED,31250.0,2024-01-18,SOLD 
2015,PORSCHE,911 GT3,118750.0,2024-01-18,SOLD 
0000,PORSCHE,PAIR OF RECARO RALLYE I SEATS FOR 911,10000.0,2024-01-18,SOLD 
1987,PORSCHE,30-YEARS-OWNED  911 CARRERA COUPE G50,None,None,None
2011,PORSCHE,7K-KILOMETER  911 GT2 RS,550000.0,2024-01-18,BID 
0000,PORSCHE,TEA-TRAY SPOILER AND DECKLID FOR 911,1600.0,2024-01-17,SOLD 
2002,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,53750.0,2024-01-17,SOLD 
1976,PORSCHE,ROW  930 TURBO,111420.0,2024-01-17,SOLD 
0000,PORSCHE,15×4.5″ AND 15×7″ FUCHS WHEELS FOR,4501.0,2024-01-16,SOLD 
2022,PORSCHE,911 GT3 TOURING 6-SPEED,229000.0,2024-01-16,SOLD 
2022,PORSCHE,911 TARGA EDITION 50 YEARS DESIGN,206000.0,2024-01-16,BID 
