Year,Make,Model,Price,DateSold
2002,BMW,M3,11600,2024-03-29
2013,BMW,M3,30100,2024-03-27
2012,BMW,M3,31995,2024-03-26
2004,BMW,M3,37900,2024-03-26
2003,BMW,M3,18000,2024-03-21
2008,BMW,M3,33499,2024-03-15
1999,BMW,M3,9999,2024-03-14
1998,BMW,M3,5499,2024-03-12
2002,BMW,M3,8000,2024-03-07
2003,BMW,M3,3025,2024-03-04
1999,BMW,M3,9999,2024-02-29
2015,BMW,M3,21300,2024-02-28
1988,BMW,M3,50099,2024-02-24
2018,BMW,M3,33600,2024-02-11
2021,BMW,M3,70000,2024-02-10
2018,BMW,M3,35000,2024-02-10
2003,BMW,M3,23000,2024-02-05
2010,BMW,M3,9390,2024-02-05
1999,BMW,M3,11000,2024-02-05
1998,BMW,M3,23500,2024-02-04
2008,BMW,M3,12200,2024-02-03
2023,BMW,M3,92999,2024-02-02
2023,BMW,M3,105000,2024-02-01
2004,BMW,M3,37900,2024-01-27
2002,BMW,M3,37500,2024-01-26
2003,BMW,M3,16000,2024-01-24
1997,BMW,M3,9500,2024-01-23
1999,BMW,M3,11400,2024-01-23
2013,BMW,M3,30000,2024-01-22
2017,BMW,M3,42000,2024-01-22
2004,BMW,M3,9500,2024-01-18
1995,BMW,M3,8100,2024-01-17
2004,BMW,M3,23995,2024-01-15
1999,BMW,M3,11100,2024-01-15
1997,BMW,M3,7100,2024-01-12
2008,BMW,M3,20000,2024-01-11
2009,BMW,M3,22995,2024-01-11
2015,BMW,M3,47995,2024-01-10
2017,BMW,M3,42100,2024-01-07
2004,BMW,M3,14000,2024-04-02
