YEAR,MAKE,MODEL,PRICE
2014,AUDI,R8,86339
2015,AUDI,R8,104611
2019,AUDI,R8,100867
2013,AUDI,R8,99298
2019,AUDI,R8,112348
2019,AUDI,R8,112045
2022,AUDI,R8,91334
2016,AUDI,R8,88888
2010,AUDI,R8,85484
2013,AUDI,R8,106018
2022,AUDI,R8,82443
2015,AUDI,R8,107545
2011,AUDI,R8,85604
2022,AUDI,R8,108394
2017,AUDI,R8,85062
2013,AUDI,R8,98802
2015,AUDI,R8,84864
2019,AUDI,R8,115664
2012,AUDI,R8,118442
2022,AUDI,R8,100415
2013,AUDI,R8,100362
2016,AUDI,R8,93165
2021,AUDI,R8,89536
2019,AUDI,R8,107823
2018,AUDI,R8,98707
2021,AUDI,R8,86075
2017,AUDI,R8,99439
2018,AUDI,R8,89833
2018,AUDI,R8,91901
2010,AUDI,R8,91654
