YEAR,MAKE,MODEL,PRICE,DATESOLD
2012,AUDI,R8,116115.34,2022-08-15
2018,AUDI,R8,97146.08,2023-05-09
2014,AUDI,R8,86057.47,2022-02-03
2018,AUDI,R8,86289.72,2022-12-05
2011,AUDI,R8,82695.55,2022-07-27
2012,AUDI,R8,110575.06,2022-12-17
2014,AUDI,R8,99563.7,2022-09-30
2017,AUDI,R8,81102.92,2022-05-08
2014,AUDI,R8,113979.24,2023-06-14
2014,AUDI,R8,93809.31,2022-11-10
2012,AUDI,R8,89269.1,2023-02-18
2019,AUDI,R8,82769.95,2022-12-19
2011,AUDI,R8,83451.05,2023-02-15
2010,AUDI,R8,108846.48,2023-10-27
2011,AUDI,R8,107509.64,2023-02-25
2022,AUDI,R8,115369.8,2022-07-26
2013,AUDI,R8,93351.67,2022-01-19
2019,AUDI,R8,108153.12,2023-02-05
2013,AUDI,R8,103705.74,2023-08-15
2018,AUDI,R8,113071.34,2023-01-05
2018,AUDI,R8,86562.06,2023-02-01
2022,AUDI,R8,113541.67,2022-12-16
2015,AUDI,R8,87608.68,2023-07-11
2013,AUDI,R8,116393.54,2023-04-17
2011,AUDI,R8,114330.92,2023-03-13
2019,AUDI,R8,93082.22,2023-08-13
2014,AUDI,R8,97386.13,2022-10-07
2018,AUDI,R8,97326.72,2022-09-28
2017,AUDI,R8,100234.79,2022-09-12
2013,AUDI,R8,107592.83,2023-03-25
