Year,Make,Model,Price
2009,INFINITI,G37,17500.00
2013,INFINITI,G37,9500.00
2012,INFINITI,G37,24000.00
2013,INFINITI,G37,6500.00
2013,INFINITI,G37,5000.00
2013,INFINITI,G37,13899.00
2008,INFINITI,G37,15000.00
2009,INFINITI,G37,11995.00
2008,INFINITI,G37,8995.00
2009,INFINITI,G37,5000.00
2012,INFINITI,G37,11800.00
2012,INFINITI,G37,15649.00
2009,INFINITI,G37,12995.00
2008,INFINITI,G37,24995.00
2011,INFINITI,G37,7995.00
2012,INFINITI,G37,10795.00
2013,INFINITI,G37,12995.00
2008,INFINITI,G37,18999.00
2013,INFINITI,G37,13737.00
2012,INFINITI,G37,16366.00
2011,INFINITI,G37,9995.00
2012,INFINITI,G37,12859.00
