Year,Make,Model,Price
2005,PORSCHE,BOXSTER,17500.00
2014,PORSCHE,BOXSTER,21253.00
2011,PORSCHE,BOXSTER,24800.00
2017,PORSCHE,BOXSTER,29679.30
2006,PORSCHE,BOXSTER,10000.00
2009,PORSCHE,BOXSTER,3550.00
2016,PORSCHE,BOXSTER,25995.00
1998,PORSCHE,BOXSTER,34500.00
2003,PORSCHE,BOXSTER,10500.00
1999,PORSCHE,BOXSTER,13800.00
2006,PORSCHE,BOXSTER,7000.00
1999,PORSCHE,BOXSTER,12900.00
2002,PORSCHE,BOXSTER,10000.00
2014,PORSCHE,BOXSTER,19999.00
2002,PORSCHE,BOXSTER,13900.00
2000,PORSCHE,BOXSTER,30000.00
2006,PORSCHE,BOXSTER,36500.00
2011,PORSCHE,BOXSTER,9000.00
2000,PORSCHE,BOXSTER,14995.00
1999,PORSCHE,BOXSTER,37900.00
2002,PORSCHE,BOXSTER,500.00
2005,PORSCHE,BOXSTER,27240.00
2009,PORSCHE,BOXSTER,10995.00
2011,PORSCHE,BOXSTER,10900.00
2005,PORSCHE,BOXSTER,12450.00
2018,PORSCHE,BOXSTER,19900.00
2024,PORSCHE,BOXSTER,100.00
2003,PORSCHE,BOXSTER,28986.00
2002,PORSCHE,BOXSTER,38700.00
2015,PORSCHE,BOXSTER,27800.00
2002,PORSCHE,BOXSTER,52900.00
2001,PORSCHE,BOXSTER,89995.00
2020,PORSCHE,BOXSTER,21500.00
2001,PORSCHE,BOXSTER,10000.00
2003,PORSCHE,BOXSTER,57800.00
2003,PORSCHE,BOXSTER,11916.00
2011,PORSCHE,BOXSTER,24700.00
2009,PORSCHE,BOXSTER,10000.00
2012,PORSCHE,BOXSTER,15000.00
2005,PORSCHE,BOXSTER,16995.00
1999,PORSCHE,BOXSTER,500.00
1998,PORSCHE,BOXSTER,26240.00
2004,PORSCHE,BOXSTER,42900.00
2017,PORSCHE,BOXSTER,26000.00
1997,PORSCHE,BOXSTER,38999.00
2007,PORSCHE,BOXSTER,17500.00
2001,PORSCHE,BOXSTER,13995.00
2019,PORSCHE,BOXSTER,8500.00
2003,PORSCHE,BOXSTER,24995.00
2023,PORSCHE,BOXSTER,62900.00
2013,PORSCHE,BOXSTER,19900.00
2013,PORSCHE,BOXSTER,65000.00
2014,PORSCHE,BOXSTER,54900.00
2006,PORSCHE,BOXSTER,19900.00
2022,PORSCHE,BOXSTER,70900.00
1997,PORSCHE,BOXSTER,22699.00
2008,PORSCHE,BOXSTER,19999.00
2000,PORSCHE,BOXSTER,34995.00
2011,PORSCHE,BOXSTER,38900.00
2016,PORSCHE,BOXSTER,52900.00
2002,PORSCHE,BOXSTER,24900.00
2009,PORSCHE,BOXSTER,144980.00
2002,PORSCHE,BOXSTER,14864.00
1999,PORSCHE,BOXSTER,34900.00
2006,PORSCHE,BOXSTER,24000.00
2018,PORSCHE,BOXSTER,25900.00
2005,PORSCHE,BOXSTER,47950.00
1998,PORSCHE,BOXSTER,21800.00
2006,PORSCHE,BOXSTER,36900.00
1997,PORSCHE,BOXSTER,15900.00
2000,PORSCHE,BOXSTER,10500.00
2005,PORSCHE,BOXSTER,27144.00
1997,PORSCHE,BOXSTER,39900.00
2024,PORSCHE,BOXSTER,28400.00
1999,PORSCHE,BOXSTER,12999.00
2021,PORSCHE,BOXSTER,24900.00
2003,PORSCHE,BOXSTER,20900.00
1999,PORSCHE,BOXSTER,19950.00
2006,PORSCHE,BOXSTER,29997.00
2005,PORSCHE,BOXSTER,14864.00
1996,PORSCHE,BOXSTER,102992.00
2002,PORSCHE,BOXSTER,15500.00
2022,PORSCHE,BOXSTER,77995.00
2021,PORSCHE,BOXSTER,26790.00
