Year,Make,Model,Price
2011,PORSCHE,PANAMERA,12999.00
2018,PORSCHE,PANAMERA,30379.30
2010,PORSCHE,PANAMERA,15100.00
2018,PORSCHE,PANAMERA,29970.00
2018,PORSCHE,PANAMERA,81979.00
2016,PORSCHE,PANAMERA,39900.00
2017,PORSCHE,PANAMERA,10000.00
2016,PORSCHE,PANAMERA,18400.00
2020,PORSCHE,PANAMERA,73995.00
2011,PORSCHE,PANAMERA,29900.00
2015,PORSCHE,PANAMERA,49980.00
2020,PORSCHE,PANAMERA,16900.00
2018,PORSCHE,PANAMERA,52950.00
2018,PORSCHE,PANAMERA,96000.00
2017,PORSCHE,PANAMERA,45499.00
2022,PORSCHE,PANAMERA,28100.00
2020,PORSCHE,PANAMERA,89999.00
2020,PORSCHE,PANAMERA,77888.00
2018,PORSCHE,PANAMERA,66299.00
2016,PORSCHE,PANAMERA,85288.00
2019,PORSCHE,PANAMERA,21655.00
2015,PORSCHE,PANAMERA,29999.00
2015,PORSCHE,PANAMERA,82899.00
2018,PORSCHE,PANAMERA,54800.00
2012,PORSCHE,PANAMERA,64950.00
2014,PORSCHE,PANAMERA,79500.00
2015,PORSCHE,PANAMERA,14300.00
2016,PORSCHE,PANAMERA,27000.00
2014,PORSCHE,PANAMERA,59950.00
2016,PORSCHE,PANAMERA,27999.00
2012,PORSCHE,PANAMERA,21900.00
2012,PORSCHE,PANAMERA,39995.00
2011,PORSCHE,PANAMERA,37890.00
2011,PORSCHE,PANAMERA,100.00
2019,PORSCHE,PANAMERA,22986.00
2021,PORSCHE,PANAMERA,22995.00
2014,PORSCHE,PANAMERA,31997.00
2012,PORSCHE,PANAMERA,106900.00
2020,PORSCHE,PANAMERA,82995.00
2015,PORSCHE,PANAMERA,26500.00
2013,PORSCHE,PANAMERA,24999.00
2022,PORSCHE,PANAMERA,24999.00
2013,PORSCHE,PANAMERA,25999.00
2020,PORSCHE,PANAMERA,11900.00
2016,PORSCHE,PANAMERA,179999.00
2019,PORSCHE,PANAMERA,19998.00
2014,PORSCHE,PANAMERA,79999.00
2017,PORSCHE,PANAMERA,32950.00
2018,PORSCHE,PANAMERA,69900.00
2012,PORSCHE,PANAMERA,28995.00
2016,PORSCHE,PANAMERA,38900.00
2011,PORSCHE,PANAMERA,57950.00
2020,PORSCHE,PANAMERA,32800.00
2018,PORSCHE,PANAMERA,32748.00
2012,PORSCHE,PANAMERA,30900.00
2010,PORSCHE,PANAMERA,142900.00
2011,PORSCHE,PANAMERA,53500.00
2018,PORSCHE,PANAMERA,23950.00
2017,PORSCHE,PANAMERA,65500.00
2019,PORSCHE,PANAMERA,33950.00
2012,PORSCHE,PANAMERA,49072.00
2022,PORSCHE,PANAMERA,42999.00
2013,PORSCHE,PANAMERA,49993.00
2018,PORSCHE,PANAMERA,22950.00
2023,PORSCHE,PANAMERA,119000.00
2012,PORSCHE,PANAMERA,23995.00
2012,PORSCHE,PANAMERA,60360.00
2020,PORSCHE,PANAMERA,104900.00
2015,PORSCHE,PANAMERA,22995.00
2014,PORSCHE,PANAMERA,19950.00
2013,PORSCHE,PANAMERA,61738.00
2011,PORSCHE,PANAMERA,22999.00
2015,PORSCHE,PANAMERA,28500.00
2010,PORSCHE,PANAMERA,24980.00
2013,PORSCHE,PANAMERA,27900.00
2016,PORSCHE,PANAMERA,33500.00
2019,PORSCHE,PANAMERA,28991.00
