 :::EBAY - SOLD DATA SCRAPED ON: 03-22-2024 
Shop on eBay $20.00 2024-03-08
2008 Nissan 350Z $14,900.00 2024-03-05
2005 Nissan 350Z Touring 2dr Roadster $14,995.00 2024-02-02
2004 Nissan 350Z ROADSTER $11,000.00 2024-01-29
2004 Nissan 350Z $4,050.00 2024-01-29
2007 Nissan 350Z $3,000.00 2024-01-26
2005 Nissan 350Z $1,000.00 2024-01-24
2008 Nissan 350Z COUPE $8,350.00 2024-01-09
2003 Nissan 350Z $2,075.00 2023-12-31
2007 Nissan 350Z $15,995.00 2023-12-27
2003 Nissan 350Z $2,150.00 2023-12-26
2008 Nissan 350Z $13,021.00 2024-01-17
2010 Nissan 370Z $16,830.00 2023-12-28
2017 Nissan Titan $6,100.00 2024-01-26
2010 Nissan 370Z $7,000.00 2024-03-17
2014 Nissan 370Z Touring Roadster Cabriolet 6 Speed Manual $12,300.00 2024-03-07
2014 Nissan 370Z Touring $24,500.00 2024-03-06
2013 Nissan 370Z $19,470.00 2024-02-17
1995 Nissan Other $3,050.00 2024-01-16
1998 Nissan Skyline 25GTT R34 $35,100.00 2024-03-08
2010 Nissan 370Z $15,950.00 2024-03-06
1998 Nissan SKYLINE MANUAL TURBO GTT $40,000.00 2024-02-04
1998 Nissan Skyline R34 Sedan 25GTT $21,000.00 2024-01-19
1993 Nissan Skyline $26,899.00 2024-03-17
1991 Nissan Figaro $13,500.00 2024-02-29
1994 Nissan Skyline $24,500.00 2024-02-03
1998 Nissan Skyline R34 GTT TURBO RB25 MANUAL $54,999.00 2024-03-14
1991 Nissan Pathfinder 4x4 SE $7,235.00 2024-01-23
1997 Nissan Atlas Fire Truck $14,500.00 2024-03-19
1988 Nissan 300ZX $12,799.00 2024-03-21
1984 Nissan 300ZX 2+2 $2,500.00 2024-01-08
1992 Nissan 300ZX 2+2 $1,775.00 2024-01-04
1979 Datsun Z-Series $8,995.00 2024-03-16
1990 Nissan 300ZX 2 + 2 $6,000.00 2024-01-23
1995 Nissan 300ZX $11,600.00 2024-01-18
1984 Nissan 300ZX $2,500.00 2023-12-29
1984 Nissan 300ZX 2dr Coupe 2+2 5-Spd $5,500.00 2024-01-31
1995 Nissan 300ZX $4,050.00 2024-01-15
1991 Nissan 300ZX $7,657.00 2024-01-03
1993 Nissan 300ZX $13,300.00 2024-02-27
1991 Nissan 300ZX $8,999.00 2024-03-04
1994 Nissan 300ZX Z32 $24,900.00 2023-12-27
1989 Nissan 300ZX $1,025.00 2024-01-23
2012 Nissan Leaf $3,101.00 2024-03-02
1993 Nissan 300ZX $20,000.00 2024-01-23
2012 Nissan Leaf $2,800.00 2024-01-09
1993 Nissan 300ZX $14,950.00 2023-12-25
1983 Nissan 280ZX $12,500.00 2024-01-23
2011 Nissan Leaf $3,550.00 2024-03-11
1994 Nissan 300ZX $15,500.00 2024-02-19
2014 Nissan Sentra S $6,000.00 2024-03-09
1986 Nissan 300ZX $21,001.00 2024-02-06
2011 Nissan Leaf $4,103.00 2024-02-13
2011 Nissan Leaf $3,651.00 2024-03-17
1995 Nissan 240SX BASE $7,500.00 2024-01-08
2009 Nissan Rogue $5,400.00 2024-01-20
2007 Nissan Murano $2,800.00 2024-01-30
2011 Nissan Leaf SL $2,020.00 2024-03-11
2003 Nissan Frontier XE-V6 $1,050.00 2024-02-27
2012 Nissan Leaf $4,572.00 2024-03-08
2007 Nissan Titan LE $4,950.00 2024-02-22
2010 Nissan GT-R FBO $75,000.00 2024-03-01
2023 Nissan GT-R NISMO $175,600.00 2024-02-17
2017 Nissan Versa S $5,300.00 2024-03-17
1978 Datsun 1/2 Ton Pickup $16,000.00 2024-01-29
1994 Nissan GT-R Skyline R32 GT-R $28,600.00 2024-02-03
2007 Nissan Murano $819.00 2024-03-18
1988 Nissan Maxima SE Special Edition $7,877.00 2024-02-08
2003 Nissan Frontier $2,325.00 2024-01-12
2005 Nissan Frontier LE $3,350.00 2023-12-25
2022 Nissan Leaf S PLUS $16,700.00 2024-02-03
2012 Nissan Leaf $2,199.00 2024-01-07
2007 Nissan Murano $3,499.00 2024-03-18
2004 Nissan Xterra XE (ADDITIONAL PHOTOS/VIDEOS LINK IN DESCRIPTION) $960.00 2024-01-07
2009 Nissan GT-R R35 $64,900.00 2024-02-19
2015 Nissan Leaf SV $5,600.00 2024-03-02
2012 Nissan Leaf SV $1,725.00 2024-03-18
2015 Nissan NV 2.5S $1,300.00 2024-03-03
2015 Nissan Leaf S $2,850.00 2024-03-10
2012 Nissan Quest SV $2,024.00 2024-03-13
2012 Nissan Maxima S $6,000.00 2024-03-05
2013 Nissan Leaf SL $1,625.00 2023-12-26
2014 Nissan Frontier SV $8,427.00 2024-03-18
2012 Nissan Rogue S $1,370.00 2024-01-26
2010 Nissan Titan SE $3,750.00 2024-03-03
2015 Nissan GT-R Track Edition $63,500.00 2024-03-15
2014 Nissan Maxima S $7,200.00 2024-01-05
2018 Nissan Versa S $2,000.00 2024-03-10
2012 Nissan Leaf SV $2,400.00 2024-01-16
2006 Nissan Xterra $1,200.00 2024-03-16
1980 Other Makes NISSAN BE1 $7,000.00 2024-02-26
2000 Nissan Xterra $1,500.00 2024-03-21
2008 Nissan Altima 2.5 S $910.00 2024-02-20
2004 Nissan Sentra $2,175.00 2024-03-16
2000 Nissan Frontier $4,150.00 2024-02-13
2015 Nissan Leaf SV $5,400.00 2024-03-18
2012 Nissan Altima BASE $3,500.00 2023-12-26
2015 Nissan Leaf $7,000.00 2024-01-12
1995 Nissan Sentra $7,900.00 2024-01-25
2015 Nissan Leaf $5,000.00 2024-01-11
2008 Nissan Altima $830.00 2024-01-31
2002 Nissan Pathfinder LE $5,500.00 2024-01-18
1998 Nissan Skyline R34 Sedan 25GTT $20,100.00 2024-03-11
1990 Nissan 300ZX 2 + 2 $6,000.00 2024-02-19
1993 Nissan 300ZX $13,300.00 2024-01-23
2011 Nissan Leaf $3,150.00 2024-02-06
2011 Nissan Leaf $3,600.00 2024-01-16
2011 Nissan Leaf $4,050.00 2024-03-05
2011 Nissan Leaf $2,950.00 2024-01-23
2003 Nissan Frontier $3,350.00 2024-03-09
2015 Nissan Leaf S $2,850.00 2024-01-05
2013 Nissan Leaf S $2,275.00 2024-03-21
2011 Nissan Murano $5,400.00 2024-02-22
2010 Nissan Maxima 3.5 S $860.00 2024-01-22
2004 Nissan Murano SL $1,358.00 2024-02-14
2010 Nissan Rogue S $1,525.00 2023-12-29
2005 Nissan Altima S $1,125.00 2024-02-16
2008 Nissan Frontier KING CAB LE $3,000.00 2024-02-05
1990 Nissan Pathfinder $3,900.00 2024-03-09
2007 Nissan Murano SL $1,975.00 2024-02-08
2015 Nissan Altima 2.5 SV $1,900.00 2024-03-12
2016 Nissan Altima 2.5 $7,455.00 2024-03-10
2014 Nissan Pathfinder PLATINUM $4,050.00 2024-01-28
1990 Nissan Pathfinder $3,000.00 2024-03-03
2005 Nissan Maxima SE $1,850.00 2024-02-14
2003 Nissan Frontier XE-V6 $2,729.00 2024-01-27
2013 Nissan Leaf S $1,300.00 2024-02-01
2004 Nissan Frontier XE $1,800.00 2024-01-02
2007 Nissan Pathfinder LE $1,800.00 2024-02-23
1994 Nissan GT-R $30,299.00 2024-03-08
2007 Nissan Altima 2.5 S $1,000.00 2024-03-17
2003 Nissan Pathfinder NO RESERVE 95K LOW MILES V6 $4,000.00 2024-03-06
2003 Nissan Frontier $10,782.00 2024-02-01
1991 Nissan 240SX BASE $14,500.00 2023-12-29
1994 Nissan Other Pickups KING CAB SE $10,000.00 2024-01-08
2015 Nissan Quest S $2,300.00 2024-02-11
2014 Nissan Pathfinder LT $2,100.00 2024-01-16
2016 Nissan NV $6,900.00 2023-12-29
2008 Nissan Sentra 2.0 $1,525.00 2024-02-23
2014 Nissan Leaf S $6,000.00 2024-01-17
2015 Nissan Altima 2.5 $3,000.00 2024-02-23
2014 Nissan Rogue S $4,630.00 2024-01-22
