 :::EBAY - SOLD DATA SCRAPED ON: 05-02-2024 
2014 BMW X5 $11,000.00 2024-04-30
2024 BMW X5 SDRIVE 40I $47,900.00 2024-04-30
2015 BMW X5 XDRIVE50I $14,500.00 2024-04-30
2005 BMW X5 AWD 4WD 4X4 NO RUST SOLID FRAME RUNS BRAND NEW NO RESERVE $4,800.00 2024-04-30
2008 BMW X5 $2,800.00 2024-04-26
2010 BMW X5 XDRIVE35D $4,000.00 2024-04-26
2008 BMW X5 3.0I $1,675.00 2024-04-25
2012 BMW X5 - DIESEL ** 7-SEATS ** 100K $12,995.00 2024-04-25
2015 BMW X5 XDRIVE35D, 1 OWNER, EXCELLENT CONDITION, NIGHT VISION, LOADED! $18,500.00 2024-04-22
2005 BMW X5 AWD 4WD 4X4 NO RUST SOLID FRAME RUNS BRAND NEW NO RESERVE $3,300.00 2024-04-22
2011 BMW X5 XDRIVE35I $2,030.00 2024-04-21
2017 X5 sDrive35i COMF SEATS HTD/COOL SEATS HUD PANO NAVI $18,980.00 2024-04-21
2016 BMW X5 XDRIVE35I $13,500.00 2024-04-20
2011 BMW X5 XDRIVE35I $3,100.00 2024-04-20
2006 BMW X5 4.4i $265.00 2024-04-16
2014 BMW X5 xDrive35i $9,750.00 2024-04-16
2012 BMW X5 XDRIVE50I $7,625.00 2024-04-13
2015 BMW X5 X5M $37,800.00 2024-04-13
2011 BMW X5 $1,575.00 2024-04-11
2005 BMW X5 AWD 4WD 4X4 NO RUST SOLID FRAME RUNS BRAND NEW NO RESERVE $4,100.00 2024-04-11
2015 BMW X5 xDrive35i AWD w/7 SEATS $14,999.00 2024-04-11
2011 BMW X5 $9,500.00 2024-04-11
2019 BMW X5 xDrive40i $35,000.00 2024-04-11
2006 BMW X5 3.0I $5,000.00 2024-04-11
2006 BMW X5 4.4i $610.00 2024-04-09
2011 BMW X5 $4,900.00 2024-04-09
2015 BMW X5 xDrive35i AWD w/7 SEATS $14,100.00 2024-04-03
2015 BMW X5 M $1,200.00 2024-04-03
2020 BMW X5 SDRIVE 40I $25,700.00 2024-04-02
2005 BMW X5 AWD 4WD 4X4 NO RUST SOLID FRAME RUNS BRAND NEW NO RESERVE $3,650.00 2024-04-02
2015 BMW X5 X5M $37,999.00 2024-04-02
2017 BMW X5 X DRIVE 35I NO RESERVE!!! $20,800.00 2024-04-02
2016 BMW X5 BMW X5 sDrive35i 2016 Premium & Luxury Package $18,750.00 2024-03-31
2015 BMW X5 M $1,200.00 2024-03-31
2015 BMW X5 XDRIVE50I $11,500.00 2024-03-29
2005 BMW X5 4.4i $1,475.00 2024-03-29
2015 BMW X5 XDRIVE35I $16,200.00 2024-03-29
2015 BMW X5 M $1,200.00 2024-03-29
2006 BMW X5 3.0I $2,025.00 2024-03-28
2003 BMW X5 4.6IS $4,600.00 2024-03-28
2018 BMW X5M AWD SUV X5 M Executive Pack Heads Up Surround Cam! $44,999.00 2024-03-28
2020 BMW X5 $49,000.00 2024-03-28
2004 BMW X5 4.4I $800.00 2024-03-26
2006 BMW X5 3.0i $1,200.00 2024-03-26
2011 BMW X5 $2,550.00 2024-03-22
2015 BMW X5 XDRIVE50I $11,100.00 2024-03-22
2006 BMW X5 $4,000.00 2024-03-22
