Year,Make,Model,Price,DateSold
2017,PORSCHE,911,145000,2024-03-27
2001,PORSCHE,911,29990,2024-03-26
2000,PORSCHE,911,4350,2024-03-22
2003,PORSCHE,911,22000,2024-03-22
2005,PORSCHE,911,25900,2024-03-21
1995,PORSCHE,911,32500,2024-03-19
2016,PORSCHE,911,179942,2024-03-18
1999,PORSCHE,911,16100,2024-03-18
2011,PORSCHE,911,220000,2024-03-18
2008,PORSCHE,911,63000,2024-03-17
1971,PORSCHE,911,20000,2024-03-17
2012,PORSCHE,911,76911,2024-03-16
2004,PORSCHE,911,32900,2024-03-15
2000,PORSCHE,911,12500,2024-03-15
1999,PORSCHE,911,7200,2024-03-15
2007,PORSCHE,911,58997,2024-03-14
2000,PORSCHE,911,15999,2024-03-13
1971,PORSCHE,911,15000,2024-03-12
2007,PORSCHE,911,25999,2024-03-09
2006,PORSCHE,911,47800,2024-03-09
2014,PORSCHE,911,117000,2024-03-08
2002,PORSCHE,911,20100,2024-03-07
2003,PORSCHE,911,11600,2024-03-07
2000,PORSCHE,911,15999,2024-03-07
1999,PORSCHE,911,16500,2024-03-05
2007,PORSCHE,911,28500,2024-03-04
1981,PORSCHE,911,37100,2024-03-04
2017,PORSCHE,911,59200,2024-03-03
2019,PORSCHE,911,210000,2024-03-02
2003,PORSCHE,911,35096,2024-03-02
1984,PORSCHE,911,52911,2024-03-02
1979,PORSCHE,911,46000,2024-03-02
2004,PORSCHE,911,36800,2024-03-01
1986,PORSCHE,911,39000,2024-02-29
1996,PORSCHE,911,80500,2024-02-26
2018,PORSCHE,911,81999,2024-02-26
2003,PORSCHE,911,17100,2024-02-25
2000,PORSCHE,911,17999,2024-02-24
1996,PORSCHE,911,70200,2024-02-24
2011,PORSCHE,911,47000,2024-02-24
2021,PORSCHE,911,249900,2024-02-23
2015,PORSCHE,911,84100,2024-02-23
1999,PORSCHE,911,16500,2024-02-22
2003,PORSCHE,911,6700,2024-02-22
2003,PORSCHE,911,22000,2024-02-21
2000,PORSCHE,911,15800,2024-02-20
2014,PORSCHE,911,71000,2024-02-19
2002,PORSCHE,911,15000,2024-02-19
2020,PORSCHE,911,103750,2024-02-19
1982,PORSCHE,911,22000,2024-02-16
1999,PORSCHE,911,12950,2024-02-16
1975,PORSCHE,911,64995,2024-02-15
2007,PORSCHE,911,85000,2024-02-15
2002,PORSCHE,911,75000,2024-02-15
2002,PORSCHE,911,22688,2024-02-14
1999,PORSCHE,911,19999,2024-02-13
1980,PORSCHE,911,39000,2024-02-13
2003,PORSCHE,911,10400,2024-02-12
2001,PORSCHE,911,19500,2024-02-12
2005,PORSCHE,911,35000,2024-02-11
2008,PORSCHE,911,49200,2024-02-10
2020,PORSCHE,911,80000,2024-02-09
2007,PORSCHE,911,19000,2024-02-09
1995,PORSCHE,911,64500,2024-02-07
2007,PORSCHE,911,18100,2024-02-07
1984,PORSCHE,911,36500,2024-02-07
1995,PORSCHE,911,59990,2024-02-06
2014,PORSCHE,911,128991,2024-02-06
2003,PORSCHE,911,16000,2024-02-05
2021,PORSCHE,911,127000,2024-02-03
2019,PORSCHE,911,129800,2024-02-03
2019,PORSCHE,911,129800,2024-02-02
1982,PORSCHE,911,22000,2024-02-02
2020,PORSCHE,911,80000,2024-02-02
2015,PORSCHE,911,40800,2024-02-02
1999,PORSCHE,911,7600,2024-02-01
2024,PORSCHE,911,199998,2024-02-01
2004,PORSCHE,911,19000,2024-01-31
2006,PORSCHE,911,32000,2024-01-31
1985,PORSCHE,911,34322,2024-01-31
1984,PORSCHE,911,40100,2024-01-30
2013,PORSCHE,911,60995,2024-01-29
2019,PORSCHE,911,125000,2024-01-29
2017,PORSCHE,911,70000,2024-01-29
2002,PORSCHE,911,17200,2024-01-28
2001,PORSCHE,911,19999,2024-01-27
2015,PORSCHE,911,51000,2024-01-27
2015,PORSCHE,911,45700,2024-01-26
2006,PORSCHE,911,38999,2024-01-26
2008,PORSCHE,911,74999,2024-01-25
1973,PORSCHE,911,23100,2024-01-25
1997,PORSCHE,911,100000,2024-01-25
1982,PORSCHE,911,47500,2024-01-25
1975,PORSCHE,911,40200,2024-01-24
2004,PORSCHE,911,19500,2024-01-24
2015,PORSCHE,911,51000,2024-01-24
2012,PORSCHE,911,76900,2024-01-22
2004,PORSCHE,911,29999,2024-01-22
2007,PORSCHE,911,34200,2024-01-22
2001,PORSCHE,911,20550,2024-01-21
1975,PORSCHE,911,11000,2024-01-21
1975,PORSCHE,911,11000,2024-01-19
2014,PORSCHE,911,48750,2024-01-19
2010,PORSCHE,911,74000,2024-01-19
1980,PORSCHE,911,52000,2024-01-18
1999,PORSCHE,911,28500,2024-01-17
2002,PORSCHE,911,17500,2024-01-17
1979,PORSCHE,911,40700,2024-01-16
2006,PORSCHE,911,45000,2024-01-15
2011,PORSCHE,911,45000,2024-01-15
2007,PORSCHE,911,27600,2024-01-15
2008,PORSCHE,911,39979,2024-01-15
2002,PORSCHE,911,13200,2024-01-15
2004,PORSCHE,911,22322,2024-01-13
2018,PORSCHE,911,189979,2024-01-13
1969,PORSCHE,911,29900,2024-01-12
2002,PORSCHE,911,11600,2024-01-08
2017,PORSCHE,911,68668,2024-01-08
1985,PORSCHE,911,74900,2024-01-07
2015,PORSCHE,911,64999,2024-01-06
2007,PORSCHE,911,67900,2024-01-06
2009,PORSCHE,911,61000,2024-01-05
2017,PORSCHE,911,79900,2024-01-05
2021,PORSCHE,911,129995,2024-01-05
1999,PORSCHE,911,17500,2024-01-04
1979,PORSCHE,911,124900,2024-01-03
1995,PORSCHE,911,57994,2024-01-02
2002,PORSCHE,911,30600,2024-01-02
1974,PORSCHE,911,14700,2024-01-01
1996,PORSCHE,911,50000,2024-01-01
2015,PORSCHE,911,56999,2023-12-31
1972,PORSCHE,911,55000,2023-12-30
1974,PORSCHE,911,44500,2023-12-30
