Year,Make,Model,Price,DateSold
2014,BMW,X5,11000,2024-04-30
2024,BMW,X5,47900,2024-04-30
2015,BMW,X5,14500,2024-04-30
2005,BMW,X5,4800,2024-04-30
2008,BMW,X5,2800,2024-04-26
2010,BMW,X5,4000,2024-04-26
2008,BMW,X5,1675,2024-04-25
2012,BMW,X5,12995,2024-04-25
2015,BMW,X5,18500,2024-04-22
2005,BMW,X5,3300,2024-04-22
2011,BMW,X5,2030,2024-04-21
2017,BMW,X5,18980,2024-04-21
2016,BMW,X5,13500,2024-04-20
2011,BMW,X5,3100,2024-04-20
2006,BMW,X5,265,2024-04-16
2014,BMW,X5,9750,2024-04-16
2012,BMW,X5,7625,2024-04-13
2015,BMW,X5,37800,2024-04-13
2011,BMW,X5,1575,2024-04-11
2005,BMW,X5,4100,2024-04-11
2015,BMW,X5,14999,2024-04-11
2011,BMW,X5,9500,2024-04-11
2019,BMW,X5,35000,2024-04-11
2006,BMW,X5,5000,2024-04-11
2006,BMW,X5,610,2024-04-09
2011,BMW,X5,4900,2024-04-09
2015,BMW,X5,14100,2024-04-03
2015,BMW,X5,1200,2024-04-03
2020,BMW,X5,25700,2024-04-02
2005,BMW,X5,3650,2024-04-02
2015,BMW,X5,37999,2024-04-02
2017,BMW,X5,20800,2024-04-02
2016,BMW,X5,18750,2024-03-31
2015,BMW,X5,1200,2024-03-31
2015,BMW,X5,11500,2024-03-29
2005,BMW,X5,1475,2024-03-29
2015,BMW,X5,16200,2024-03-29
2015,BMW,X5,1200,2024-03-29
2006,BMW,X5,2025,2024-03-28
2003,BMW,X5,4600,2024-03-28
2018,BMW,X5,44999,2024-03-28
2020,BMW,X5,49000,2024-03-28
2004,BMW,X5,800,2024-03-26
2006,BMW,X5,1200,2024-03-26
2011,BMW,X5,2550,2024-03-22
2015,BMW,X5,11100,2024-03-22
2006,BMW,X5,4000,2024-03-22
