Year,Make,Model,Price,DateSold
2000,PORSCHE,BOXSTER,19495,2024-05-02
2014,PORSCHE,BOXSTER,20099,2024-05-02
1998,PORSCHE,BOXSTER,5150,2024-05-01
1999,PORSCHE,BOXSTER,13200,2024-05-01
2003,PORSCHE,BOXSTER,16500,2024-04-29
2003,PORSCHE,BOXSTER,4800,2024-04-29
2014,PORSCHE,BOXSTER,37500,2024-04-28
2001,PORSCHE,BOXSTER,8995,2024-04-28
2000,PORSCHE,BOXSTER,7610,2024-04-23
2000,PORSCHE,BOXSTER,11750,2024-04-23
2004,PORSCHE,BOXSTER,9250,2024-04-22
1999,PORSCHE,BOXSTER,7500,2024-04-22
2001,PORSCHE,BOXSTER,8995,2024-04-21
1998,PORSCHE,BOXSTER,5995,2024-04-21
2006,PORSCHE,BOXSTER,7000,2024-04-20
1999,PORSCHE,BOXSTER,3000,2024-04-20
2019,PORSCHE,BOXSTER,56500,2024-04-20
2001,PORSCHE,BOXSTER,8995,2024-04-19
2000,PORSCHE,BOXSTER,2600,2024-04-19
2003,PORSCHE,BOXSTER,11300,2024-04-15
2007,PORSCHE,BOXSTER,3000,2024-04-14
2000,PORSCHE,BOXSTER,19901,2024-04-14
1998,PORSCHE,BOXSTER,21000,2024-04-14
2006,PORSCHE,BOXSTER,9500,2024-04-14
1998,PORSCHE,BOXSTER,17989,2024-04-14
1999,PORSCHE,BOXSTER,8500,2024-04-14
1999,PORSCHE,BOXSTER,16000,2024-04-07
2003,PORSCHE,BOXSTER,11800,2024-04-07
2003,PORSCHE,BOXSTER,12801,2024-04-03
2000,PORSCHE,BOXSTER,18500,2024-04-03
2011,PORSCHE,BOXSTER,6500,2024-03-30
2007,PORSCHE,BOXSTER,18800,2024-03-30
2007,PORSCHE,BOXSTER,8200,2024-03-26
