Year,Make,Model,Price,DateSold
2011,PORSCHE,PANAMERA,13999,2024-04-26
2018,PORSCHE,PANAMERA,39900,2024-04-26
2011,PORSCHE,PANAMERA,13999,2024-04-24
2012,PORSCHE,PANAMERA,18000,2024-04-24
2011,PORSCHE,PANAMERA,17846,2024-04-24
2011,PORSCHE,PANAMERA,13999,2024-04-24
2014,PORSCHE,PANAMERA,5300,2024-04-21
2014,PORSCHE,PANAMERA,25900,2024-04-21
2018,PORSCHE,PANAMERA,35300,2024-04-16
2022,PORSCHE,PANAMERA,67900,2024-04-16
2013,PORSCHE,PANAMERA,10100,2024-04-15
2020,PORSCHE,PANAMERA,45000,2024-04-15
2018,PORSCHE,PANAMERA,39900,2024-04-11
2016,PORSCHE,PANAMERA,21900,2024-04-11
2013,PORSCHE,PANAMERA,4353,2024-03-24
2013,PORSCHE,PANAMERA,25600,2024-03-24
2013,PORSCHE,PANAMERA,4053,2024-03-24
2020,PORSCHE,PANAMERA,53995,2024-03-24
2022,PORSCHE,PANAMERA,67900,2024-03-21
2011,PORSCHE,PANAMERA,2400,2024-03-21
