 :::EBAY - SOLD DATA SCRAPED ON: 04-03-2024 
Shop on eBay $20.00 2024-03-31
2002 BMW M3 $11,600.00 2024-03-29
2013 BMW M3 COMPETITION PACKAGE-CARBON ROOF $30,100.00 2024-03-27
2012 BMW M3 Coupe E92 Premium Navigation $31,995.00 2024-03-26
2004 BMW M3 M3 2dr Convertible $37,900.00 2024-03-26
2003 BMW M3 $18,000.00 2024-03-21
2008 BMW M3 E92 V8 MANUAL COUPE - 54K MILE - CARBON ROOF - BEST DEAL ON EBAY $33,499.00 2024-03-15
1999 BMW M3 $9,999.00 2024-03-14
1998 BMW M3 AUTOMATIC $5,499.00 2024-03-12
2002 BMW M3 $8,000.00 2024-03-07
2003 BMW M3 $3,025.00 2024-03-04
1999 BMW M3 $9,999.00 2024-02-29
2015 BMW M3 $21,300.00 2024-02-28
1988 BMW M3 $50,099.00 2024-02-24
2018 BMW M3 $33,600.00 2024-02-11
2021 BMW M3 $70,000.00 2024-02-10
2018 BMW M3 $35,000.00 2024-02-10
2003 BMW M3 Factory Interior - Brushed Aluminum $23,000.00 2024-02-05
2010 BMW M3 $9,390.00 2024-02-05
1999 BMW M3 $11,000.00 2024-02-05
1998 BMW M3 $23,500.00 2024-02-04
2008 BMW M3 $12,200.00 2024-02-03
2023 BMW M3 $92,999.00 2024-02-02
2023 BMW M3 COMPETITION $105,000.00 2024-02-01
2004 BMW M3 M3 2dr Convertible $37,900.00 2024-01-27
2002 BMW M3 E46 Show Car $37,500.00 2024-01-26
2003 BMW M3 $16,000.00 2024-01-24
1997 BMW M3 $9,500.00 2024-01-23
1999 BMW M3 $11,400.00 2024-01-23
2013 BMW M3 COMPETITION PACKAGE-CARBON ROOF $30,000.00 2024-01-22
2017 BMW M3 $42,000.00 2024-01-22
2004 BMW M3 $9,500.00 2024-01-18
1995 BMW M3 $8,100.00 2024-01-17
2004 BMW M3 Convertible Sport Premium $23,995.00 2024-01-15
1999 BMW M3 $11,100.00 2024-01-15
1997 BMW 3 Series M3SA $7,100.00 2024-01-12
2008 BMW M3 $20,000.00 2024-01-11
2009 BMW M3 Convertible Hardtop E93 $22,995.00 2024-01-11
2015 BMW M3 Sedan Executive Pkg $47,995.00 2024-01-10
2017 BMW M3 $42,100.00 2024-01-07
2004 BMW M3 $14,000.00 2024-04-02
