 :::EBAY - SOLD DATA SCRAPED ON: 05-03-2024 
2015 PORSCHE 911 $49,500.00 2024-05-02
1983 PORSCHE 911 PORSCHE 911 SC COPUE 3.0L $55,100.00 2024-05-02
1980 PORSCHE 911 $55,000.00 2024-05-01
2024 PORSCHE 911 CARRERA $149,950.00 2024-05-01
2013 PORSCHE 911 CARRERA $62,000.00 2024-05-01
2006 PORSCHE 911 $25,000.00 2024-05-01
2002 PORSCHE 911 TURBO $51,600.00 2024-05-01
1967 PORSCHE 911 $31,500.00 2024-05-01
2010 PORSCHE 911 $25,100.00 2024-04-30
1974 PORSCHE 911 $41,834.00 2024-04-30
2012 PORSCHE 911 TURBO S $47,000.00 2024-04-29
1984 PORSCHE 911 $108,997.00 2024-04-29
2019 PORSCHE 911 TARGA 4 GTS $55,777.00 2024-04-28
2005 PORSCHE 911 $115,500.00 2024-04-28
2017 PORSCHE 911 $21,322.00 2024-04-28
2003 PORSCHE 911 CARRERA 2 $72,999.00 2024-04-28
2018 PORSCHE 911 CARRERA $19,600.00 2024-04-28
1975 PORSCHE 911 $101,099.00 2024-04-28
2018 PORSCHE 911 CARRERA $55,000.00 2024-04-28
2018 PORSCHE 911 CARRERA $88,888.00 2024-04-28
1995 PORSCHE 911 CARRERA 2 $88,888.00 2024-04-27
2012 PORSCHE 911 TURBO $99,900.00 2024-04-27
2002 PORSCHE 911 CARRERA 2 $125,300.00 2024-04-27
1986 PORSCHE 911 CARRERA $11,550.00 2024-04-27
1988 PORSCHE 911 TARGA "COMMEMORATIVE EDITION" $45,000.00 2024-04-26
2013 PORSCHE 911 CARRERA $89,900.00 2024-04-26
2005 PORSCHE 911 $65,000.00 2024-04-24
1979 PORSCHE 911 $23,600.00 2024-04-24
1987 PORSCHE 911 G50 $5,100.00 2024-04-24
2005 PORSCHE 911 CARRERA $49,500.00 2024-04-24
2001 PORSCHE 911 CARRERA $29,900.00 2024-04-24
2001 PORSCHE 911 CARRERA 2 $29,900.00 2024-04-24
2014 PORSCHE 911 2DR CABRIOLET CARRERA $22,000.00 2024-04-24
2013 PORSCHE 911 CARRERA $72,000.00 2024-04-24
1996 PORSCHE 911 CARRERA 2 $30,000.00 2024-04-24
1990 PORSCHE 911 CARRERA 2DR COUPE 4 $52,000.00 2024-04-24
2001 PORSCHE 911 CARRERA 4 $105,800.00 2024-04-23
1999 PORSCHE 911 $26,900.00 2024-04-23
2015 PORSCHE 911 TURBO $20,100.00 2024-04-23
2008 PORSCHE 911 CARRERA 4S $36,700.00 2024-04-23
2017 PORSCHE 911 PORSCHE 911 CARRERA 3.0, GRAPHITE BLUE, PDLS, SPORTS CHRONO $45,600.00 2024-04-23
1996 PORSCHE 911 $87,500.00 2024-04-23
2017 PORSCHE 911 CARRERA $210,000.00 2024-04-22
2003 PORSCHE 911 CARRERA 2 $61,500.00 2024-04-22
2003 PORSCHE 911 TURBO $15,100.00 2024-04-21
2022 PORSCHE 911 4GTS-3.0L V6 473HP HARD TOP 7-SPEED MANUAL TWIN TURBOCHARGE $46,000.00 2024-04-21
2005 PORSCHE 911 $89,999.00 2024-04-21
2019 PORSCHE 911 CARRERA $22,200.00 2024-04-21
2006 PORSCHE 911 CARRERA CABRIOLET $97,000.00 2024-04-20
1972 PORSCHE 911T 2.4 TARGA $28,879.00 2024-04-20
1997 PORSCHE 911 993 CARRERA S $49,500.00 2024-04-19
2004 PORSCHE 911 TURBO CABRIOLET $147,500.00 2024-04-19
2007 MERCEDES-BENZ CLK-CLASS CLK550 CONVERTIBLE - 20K MILE - BEST DEAL ON EBAY $44,995.00 2024-04-17
1995 PORSCHE 911 $20,999.00 2024-04-17
1984 PORSCHE 911 CARRERA $63,500.00 2024-04-17
2003 PORSCHE 911 CARRERA 2 $65,000.00 2024-04-17
1984 PORSCHE 911 CARRERA $12,600.00 2024-04-17
2015 PORSCHE 911 TURBO $65,000.00 2024-04-17
2000 PORSCHE 911 CARRERA CABRIOLET $35,655.00 2024-04-17
2010 PORSCHE 911 TURBO $26,995.00 2024-04-17
2003 PORSCHE 911 CARRERA 2 $121,400.00 2024-04-17
2004 PORSCHE 911 $12,600.00 2024-04-17
2013 PORSCHE 911 CARRERA S CABRIOLET $21,200.00 2024-04-17
1996 PORSCHE 911 CARRERA 2DR CARRERA COUPE W/TIPTRONIC $73,995.00 2024-04-17
2017 PORSCHE 911 TURBO $69,900.00 2024-04-17
2001 PORSCHE 911 CARRERA 2 $145,000.00 2024-04-17
1974 PORSCHE 914 $29,990.00 2024-04-16
2000 PORSCHE 911 CARRERA 2 $13,000.00 2024-04-16
2003 PORSCHE 911 $4,350.00 2024-04-16
2005 PORSCHE 911 CARRERA 997 $22,000.00 2024-04-16
1995 PORSCHE 911 CARRERA 2 $25,900.00 2024-04-16
2016 PORSCHE 911 GT3 RS $32,500.00 2024-04-16
1999 PORSCHE 911 CARRERA $179,942.00 2024-04-16
2011 PORSCHE 911 $16,100.00 2024-04-16
1971 PORSCHE 911 WIDE BODY $220,000.00 2024-04-15
2012 PORSCHE 911 CARRERA $20,000.00 2024-04-15
2004 PORSCHE 911 CARRERA 4S $76,911.00 2024-04-15
2000 PORSCHE 911 CARRERA 2 $32,900.00 2024-04-15
1999 PORSCHE 911 CARRERA $12,500.00 2024-04-14
2007 PORSCHE 911 CARRERA S $7,200.00 2024-04-14
2000 PORSCHE 911 $58,997.00 2024-04-13
1971 PORSCHE 911 $15,999.00 2024-04-13
2007 PORSCHE 911 CARRERA S $15,000.50 2024-04-13
2006 PORSCHE 911 CARRERA 2DR COUPE $25,999.00 2024-04-13
2014 PORSCHE 911 TURBO $47,800.00 2024-04-13
2002 PORSCHE 911 $117,000.00 2024-04-13
2003 PORSCHE 911 CARRERA 2 $20,100.00 2024-04-13
2000 PORSCHE 911 $11,600.00 2024-04-13
1999 PORSCHE 911 CARRERA $15,999.00 2024-04-11
2007 PORSCHE 911 CARRERA S $16,500.00 2024-04-11
1981 PORSCHE 911 $28,500.00 2024-04-11
2017 PORSCHE 911 CARRERA S $37,100.00 2024-04-11
2019 PORSCHE 911 $59,200.00 2024-04-10
2003 PORSCHE 911 $210,000.00 2024-04-10
1984 PORSCHE 911 $35,096.00 2024-04-10
1979 PORSCHE 911 $52,911.00 2024-04-10
2004 PORSCHE 911 CARRERA 4S CABRIOLET 2DR 6-SPEED MANUAL LOW MILES CLEAR TITLE $46,000.00 2024-04-08
1986 PORSCHE 911 CARRERA $36,800.00 2024-04-08
1996 PORSCHE 911 CARRERA 2 MANUAL $39,000.00 2024-04-08
2014 PORSCHE 911 $80,500.00 2024-04-08
2018 PORSCHE 911 CARRERA $62,700.00 2024-04-07
2003 PORSCHE 911 CARRERA 2 $81,999.00 2024-04-07
2000 PORSCHE 911 $17,100.00 2024-04-07
1996 PORSCHE 911 CARRERA 2 $17,999.00 2024-04-07
2015 PORSCHE 911 CARRERA S $70,200.00 2024-04-07
2011 PORSCHE 911 CARRERA 2 $49,000.00 2024-04-07
2021 PORSCHE 911 TARGA 4S HERITAGE DESIGN EDITION $47,000.00 2024-04-07
2015 PORSCHE 911 $249,900.00 2024-04-07
1999 PORSCHE 911 CARRERA $84,100.00 2024-04-07
2003 PORSCHE 911 $16,500.00 2024-04-07
2003 PORSCHE 911 CARRERA 4 $6,700.00 2024-04-06
2000 PORSCHE 911 $22,000.00 2024-04-06
2014 PORSCHE 911 2DR CABRIOLET CARRERA $15,800.00 2024-04-04
2002 PORSCHE 911 CARRERA 2 $71,000.00 2024-04-04
2020 PORSCHE 911 CARRER $15,000.00 2024-04-04
1982 PORSCHE 911 $103,750.00 2024-04-04
1999 PORSCHE 911 CARRERA CABRIOLET C2 - 996 - 6 SPEED MANUAL $22,000.00 2024-04-02
1975 PORSCHE 911 $12,950.00 2024-04-02
2007 PORSCHE 911 TURBO $64,995.00 2024-04-02
2002 PORSCHE 911 TURBO $85,000.00 2024-04-02
2002 PORSCHE 911 $75,000.00 2024-04-02
1999 PORSCHE 911 $22,688.00 2024-04-02
1980 PORSCHE 911 $19,999.00 2024-04-01
2003 PORSCHE 911 CARRERA $39,000.00 2024-04-01
2001 PORSCHE 911 $10,400.00 2024-03-30
2005 PORSCHE 911 $19,500.00 2024-03-30
