Year,Make,Model,Price,DateSold
0,BMW,M3,37000,1-10-22
2002,BMW,M3,28250,1-8-22
2002,BMW,M3,26000,1-7-22
2002,BMW,M3,37500,1-6-22
2002,BMW,M3,48500,1-5-22
1989,BMW,M3,54000,1-4-22
1995,BMW,M3,17250,1-3-22
1995,BMW,M3,22750,1-3-22
1995,BMW,M3,16500,1-3-22
2006,BMW,M3,36969,12-29-21
2006,BMW,M3,53500,12-29-21
2006,BMW,M3,56000,12-29-21
2006,BMW,M3,31250,12-29-21
2006,BMW,M3,22500,12-29-21
1988,BMW,M3,92000,12-28-21
1998,BMW,M3,26250,12-23-21
2003,BMW,M3,43500,12-23-21
2003,BMW,M3,14138,12-22-21
2003,BMW,M3,53500,12-22-21
2012,BMW,M3,33250,12-22-21
2012,BMW,M3,70000,12-21-21
2005,BMW,M3,32000,12-20-21
2005,BMW,M3,34750,12-20-21
2008,BMW,M3,37500,12-19-21
2008,BMW,M3,45000,12-16-21
2008,BMW,M3,36500,12-16-21
2006,BMW,M3,46000,12-15-21
2006,BMW,M3,57500,12-15-21
1988,BMW,M3,108000,12-14-21
1988,BMW,M3,39250,12-13-21
1988,BMW,M3,24002,12-12-21
---------------------- 
